#####################################################################
# Alchemist log file - simulation started at: 2025-05-01T04:06+0000 #
#####################################################################
#
# update-frequency = 0.0166666667, 5g-probability = 1, payload-size = 3, seed = 26.0
#
# The columns have the following meaning: 
# time b1dr[mean] b2dr[mean] b3dr[mean] bcdr[mean] reduction-factor[mean] reduction-factor[median] reduction-factor[StandardDeviation] export-intra-cluster-relay-data-rate-not-leader[mean] export-intra-cluster-relay-data-rate-not-leader[variance] export-intra-cluster-relay-data-rate-not-leader[median] leader-to-relay-data-rate[mean] leader-to-relay-data-rate[variance] leader-to-relay-data-rate[median] n_clusters cluster-size[mean] cluster-size[median] cluster-size[StandardDeviation] clustersComposedOfOneElement export-intra-cluster-relay-data-rate[mean] export-intra-cluster-relay-data-rate[variance] export-intra-cluster-relay-data-rate[median] export-baseline1-data-rate[mean] export-baseline1-data-rate[variance] export-baseline1-data-rate[median] export-baseline2-data-rate[mean] export-baseline2-data-rate[variance] export-baseline2-data-rate[median] export-baseline3-data-rate[mean] export-baseline3-data-rate[variance] export-baseline3-data-rate[median] distanceToLeader[mean] distanceToLeader[variance] distanceToLeader[median] 
0.0 NaN 0.00 0.00 0.00 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.0 NaN NaN NaN 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 NaN 0.00 0.00 0.00 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.0 NaN NaN NaN 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
60.03865609389098 1.19e+03 1.21e+03 1.45e+03 1.47e+03 0.814 1.00 0.389 614726.1551020284 9.700359825699556E10 660945.4623936095 2397.900199448684 2.1119585957278416E8 8.77742119136161 101.0 4.109999999999994 1.0 19.675598896074156 67.0 552016.2512694146 1.1481182565171301E11 590134.4962966263 1189.7810218978088 2159017.2690047994 0.0 135777.25555582967 4.912097298229045E10 8.736075172596848 217014.25633519155 4.963016855611091E10 214192.12012279284 0.004418120300675882 2.532014297484844E-4 0.0011588757907258832
120.03865609389098 1.55e+03 1.56e+03 1.07e+03 2.41e+03 0.903 1.00 0.290 674400.8582430291 6.1235845057979454E10 695004.7467957577 2626.02380834241 3.805855259832505E7 8.849516180452323 54.0 7.754716981132079 1.0 36.64743965260652 34.0 647364.6801301572 7.54935186568689E10 675744.6986122498 1554.7445255474454 2252483.532134576 3000.0 200144.5639986162 7.739002893351787E10 9379.906293093049 173788.16140882552 8.360431811294444E10 0.0 0.0032025334848513306 6.25645353001418E-5 0.0020236719507696474
180.03865609389098 1.55e+03 1.60e+03 1.27e+03 2.61e+03 0.928 1.00 0.259 672547.3739401572 6.386820502401852E10 696379.9912655943 12303.710281154195 2.5270041191032977E9 8.860241810309759 36.0 11.742857142857147 1.0 50.0272530768997 23.0 644351.7896703596 7.717761188886015E10 674384.042830031 1554.7445255474454 2252483.532134576 3000.0 207618.27956932737 7.99858003504461E10 9916.900086088286 181316.9506253653 8.386917400501147E10 0.0 0.004009311101436297 2.4768678973426836E-5 0.003026011491794921
240.03865609389098 1.55e+03 1.61e+03 1.37e+03 2.52e+03 0.913 1.00 0.281 660835.8424424912 6.3231528128922195E10 681726.8521145178 38917.00537398815 1.4056466390337164E10 8.81661448848736 32.0 13.258064516129037 1.0 53.97898834542654 19.0 633044.2311011644 7.581633532050233E10 664836.7697914047 1554.7445255474454 2252483.532134576 3000.0 204372.329366907 7.914972310903795E10 9876.334984509473 184440.34852888976 8.499218979215079E10 517.7457616830709 0.005814962201218967 1.6057335427441458E-4 0.004036366624742622
300.03865609389095 1.55e+03 1.69e+03 1.41e+03 2.61e+03 0.913 1.00 0.282 627175.5994716259 5.50865089788359E10 625338.3453029421 827.5485938428674 5353647.953036127 8.780308881795525 31.0 13.700000000000006 1.0 56.89139684067139 20.0 601854.2254388211 6.686834770183314E10 618802.3929378933 1554.7445255474454 2252483.532134576 3000.0 208557.01344702105 8.104624146888884E10 10145.442255304359 186020.80016107453 8.532404089017165E10 1297.4561779303208 0.0064490650621189935 1.663379845173322E-4 0.004490783354750108
360.03865609389095 1.55e+03 1.69e+03 1.38e+03 2.61e+03 0.911 1.00 0.285 620741.2323900659 5.697663314862772E10 619228.2273058151 25127.98089588248 1.0001744079941217E10 8.88489237094876 30.0 14.172413793103448 1.0 57.83972248841576 19.0 596489.8605308845 6.819814905433817E10 612876.1855003985 1554.7445255474454 2252483.532134576 3000.0 208710.22342622073 8.138589859638135E10 10145.442255304359 182944.45146019547 8.53931407008149E10 1237.7322665890892 0.007515671558738273 2.3358459768095988E-4 0.004530031466541363
420.03865609389095 1.55e+03 1.67e+03 1.39e+03 2.60e+03 0.914 1.00 0.281 612407.6027772343 5.988967692603086E10 618997.693602517 24134.945074294046 9.43115632478378E9 8.895640974864952 30.0 14.172413793103448 1.0 57.834782518528755 18.0 587902.6570125457 7.114270266404747E10 610143.0039332225 1554.7445255474454 2252483.532134576 3000.0 208316.05373497968 8.115918661256029E10 10145.442255304359 182200.57479056693 8.521825957848914E10 1297.4561779303208 0.008533957536958174 3.853899690732558E-4 0.004786112185462682
480.03865609389095 1.55e+03 1.61e+03 1.39e+03 2.54e+03 0.916 1.00 0.278 595387.0661423923 5.674112081986746E10 592151.4552640937 67272.94295552134 4.6142936743691536E10 8.88548905134509 32.0 13.258064516129037 1.0 54.52092426578711 19.0 572126.9734254712 6.763916672027593E10 578573.5850645874 1554.7445255474454 2252483.532134576 3000.0 207622.27660701994 8.04903061737427E10 10145.442255304359 182453.65561006765 8.521241826338713E10 1297.4561779303208 0.008820292099761878 2.257901426651539E-4 0.004558769529988006
